Title,Author,Score,Ratings,Published
Digital Fortress,Dan Brown,3.69,623433,1998
The Paris Apartment,Kelly Bowen,4.3,9011,2021
"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,3.91,334893,1954
Of Mice and Men,John Steinbeck,3.88,2432709,1937
Sex and Vanity,Kevin Kwan,3.34,52807,2020
"Crossfire (Extreme Measures, #2)",Lynette Eason,4.38,1818,2022
This Is Not a Drill,K.A. Holt,3.56,847,2022
The Layover,Lacie Waldon,3.65,24404,2021
The Happy Couple,Naoise Dolan,3.63,2039,2023
The I Love Lucy Cookbook: Classic Recipes Inspired by the Iconic TV Show,Jenn Fujikawa,4.36,36,2021
Lo and Behold (A Graphic Novel),Wendy Mass,4.19,454,2023
Lolita,Vladimir Nabokov,3.88,808201,1955
BEAT&amp;MOTION 1,Naoki Fujita,4.11,9,2023
"Running Wild (Wild, #3)",K.A. Tucker,4.22,21683,2022
Daisy Jones & The Six,Taylor Jenkins Reid,4.23,1242589,2019
Twenty Love Poems and a Song of Despair,Pablo Neruda,4.23,68050,1924
Mrs. Plansky&#39;s Revenge,Spencer Quinn,3.87,386,2023
Cold Enough for Snow,Jessica Au,3.8,7834,2022
The Best Summer of Our Lives,Rachel Hauck,4.07,710,2023
"Thinking, Fast and Slow",Daniel Kahneman,4.18,463157,2011
"The Pegan Diet: 21 Practical Principles for Reclaiming Your Health in a Nutritionally Confusing World (The Dr. Mark Hyman Library, 10)",Mark Hyman,4.12,1930,2021
Okay Days,Jenny Mustard,4.01,338,2023
"Ebony Gate (Phoenix Hoard, #1)",Julia Vee,3.84,216,2023
Leonardo da Vinci,Walter Isaacson,4.19,98863,2017
The Dutch House,Ann Patchett,4.1,401498,2019
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,4.09,453962,1952
Bright Dead Things,Ada Limon,4.23,9699,2015
Plus One,Kelsey Rodkey,3.56,204,2023
One of the Boys,Jayne Cowie,4.09,193,2023
The Summer House,Lauren K. Denton,3.98,6713,2020
Several People Are Typing,Calvin Kasulke,3.67,11187,2021
This is Where We Talk Things Out,Caitlin Marceau,3.91,2371,2022
Taste: My Life through Food,Stanley Tucci,4.22,62759,2021
"Size 12 Is Not Fat (Heather Wells, #1)",Meg Cabot,3.76,86554,2005
I Contain Multitudes: The Microbes Within Us and a Grander View of Life,Ed Yong,4.17,23967,2016
The Whisper Man,Alex North,4.04,148499,2019
Attribution,Linda  Moore,4.16,457,2022
Karen&#39;s School Picture,Katy Farina,4.3,1444,2022
"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,3.84,162773,2007
Coronation Year,Jennifer Robson,3.97,3327,2023
On a Sunbeam,Tillie Walden,4.31,26787,2018
Glucose Revolution: The Life-Changing Power of Balancing Your Blood Sugar,Jessie Inchauspé,4.5,14249,2022
Sense and Sensibility,Jane Austen,4.08,1144356,1811
Kukum,Michel Jean,4.58,6798,2019
"The Accomplice (Theodore Boone, #7)",John Grisham,4.04,5431,2019
"A Shadow in RiverClan (Warriors: Graphic Novels, #1)",Erin Hunter,4.46,1572,2020
Overkill,Sandra       Brown,4.01,17554,2022
The Scarlet Letter,Nathaniel Hawthorne,3.43,834763,1850
Autobiography of Red,Anne Carson,4.28,26450,1998
The Mostly True Story of Tanner and Louise,Colleen Oakley,4.11,10415,2023
Love & Misadventure,Lang Leav,3.94,54436,2013
"The Light Fantastic (Discworld, #2; Rincewind, #2)",Terry Pratchett,3.99,145576,1986
The Centre,Ayesha Manazir Siddiqi,3.55,1223,2023
"Knox (The Montana Marshalls, #1)",Susan May Warren,4.34,3575,2019
How to Break Up with Your Phone: The 30-Day Plan to Take Back Your Life,Catherine Price,3.92,14891,2018
Lady Clementine,Marie Benedict,3.82,23104,2020
These Tangled Vines,Julianne MacLean,4.27,63673,2021
The Family Journal,Carolyn Brown,4.31,15138,2019
"Cold Snap (Cold Justice® - Most Wanted, #3)",Toni Anderson,4.44,465,2023
"Good in Bed (Cannie Shapiro, #1)",Jennifer Weiner,3.75,300897,2002
"Good Pop, Bad Pop",Jarvis Cocker,4.32,2193,2022
The Sleepover,Keri Beevis,4.18,11437,2022
Genome: the Autobiography of a Species in 23 Chapters,Matt Ridley,4.05,26114,1999
What Remains,Wendy   Walker,3.7,1226,2023
"Star Wars: Darth Vader, Vol. 6: Return of the Handmaidens",Greg Pak,3.94,165,2023
A House with Good Bones,T. Kingfisher,3.77,13589,2023
Out of the Corner,Jennifer  Grey,3.81,8843,2022
"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Art Spiegelman,4.37,317066,1986
"Twisted Twenty-Six (Stephanie Plum, #26)",Janet Evanovich,4.1,46480,2019
Laziness Does Not Exist,Devon Price,3.97,6875,2021
"The Ghost in Bone (Felix Castor, #6)",Mike Carey,4.43,14,2023
The Secret Lives of Color,Kassia St. Clair,4.12,12555,2016
"The Witch Doesn't Burn in This One (Women Are Some Kind of Magic, #2)",Amanda Lovelace,3.74,41760,2018
Beach Read,Emily Henry,4.03,896406,2020
Murder in the Book Lover&#39;s Loft (A Book Retreat Mystery #9),Ellery Adams,4.58,439,2023
"Beautifully Broken Life (Sutter Lake, #2)",Catherine Cowles,4.24,4783,2019
A Little Devil in America: Notes in Praise of Black Performance,Hanif Abdurraqib,4.62,6763,2021
Batman- One Bad Day: Catwoman,G. Willow Wilson,3.89,432,2023
"NARUTO-ナルト- サスケ烈伝 うちはの末裔と天球の星屑 下 [Naruto: Sasuke Retsuden - Uchiha no Matsuei to Tenkyuu no Hoshikuzu 2] (Naruto: Sasuke’s Story—The Uchiha and the Heavenly Stardust: The Manga, #2)",Shingo Kimura,3.91,23,2023
Love &amp; Resistance,Kara H.L. Chen,3.93,140,2023
Eye for An Eye,M.J. Arlidge,4.39,238,2023
鴨乃橋ロンの禁断推理 11 [Kamonohashi Ron no Kindan Suiri 11],Akira Amano,4.55,11,2023
Wedding Night,Sophie Kinsella,3.46,93094,2013
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.41,901570,1998
Play to Win,Jodie Slaughter,3.51,502,2023
The Others of Edenwell,Verity M. Holloway,3.86,14,2023
"The Woman They Could Not Silence: One Woman, Her Incredible Fight for Freedom, and the Men Who Tried to Make Her Disappear",Kate  Moore,4.31,21982,2021
"Saving 6 (Boys of Tommen, #3)",Chloe Walsh,4.58,15308,2023
Vincent Van Gogh: The Complete Paintings,Rainer Metzger,4.13,49139,1988
A Very Typical Family,Sierra Godfrey,3.53,20175,2022
"Spirit Bound (Vampire Academy, #5)",Richelle Mead,4.33,288193,2010
My F*cked Up Paradise,J.B. Salsbury,4.2,273,2023
Over the Falls (Ryder Bay #1),Jordan Ford,3.84,1214,2019
This One Summer,Mariko Tamaki,3.69,79624,2014
The Sex Lives of Cannibals: Adrift in the Equatorial Pacific,J. Maarten Troost,3.87,24558,2003
Ways of Seeing,John Berger,3.92,353956,1972
For nEver,Aurora Rose Reynolds,4.31,4290,2023
Nimona,N.D. Stevenson,4.16,147770,2015
None of This Rocks: A Memoir,Joe Trohman,4.05,1110,2022
"The Darkest Star (Origin, #1)",Jennifer L. Armentrout,4.21,22190,2018
Benjamin Franklin: An American Life,Walter Isaacson,4.03,136096,2003
Hello Beautiful,Ann Napolitano,4.24,101399,2023
What My Bones Know: A Memoir of Healing from Complex Trauma,Stephanie Foo,4.52,27628,2022
My Murder,Katie Williams,3.73,5681,2023
The Probability of Everything,Sarah Everett,4.45,433,2023
"Tiamat&#39;s Wrath (The Expanse, #8)",James S.A. Corey,4.57,58706,2019
"Cherishing the Cowgirl (Colorado Cowgirls, #2)",Jody Hedlund,4.58,177,2023
Black Thorn,Sarah Hilary,3.68,108,2023
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food,Mark Bittman,4.09,14563,2007
The Last Rose of Shanghai,Weina Dai Randel,4.14,35456,2021
The Collected Poems of W.B. Yeats,W.B. Yeats,4.22,38259,1933
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.33,630476,2011
"You Are a Badass Every Day: How to Keep Your Motivation Strong, Your Vibe High, and Your Quest for Transformation Unstoppable",Jen Sincero,3.82,10831,2018
What&#39;s Our Problem?: A Self-Help Book for Societies,Tim Urban,4.31,2325,2023
"Chatter: The Voice in Our Head, Why It Matters, and How to Harness It",Ethan Kross,3.99,16157,2021
"Love &amp; Luck (Love &amp; Gelato, #2)",Jenna Evans Welch,3.67,33674,2018
The Beatryce Prophecy,Kate DiCamillo,4.31,8291,2021
The Paris Agent,Kelly Rimmer,4.16,1499,2023
Miss Matched,Wendy Million,3.7,261,2023
"Believe Me (Shatter Me, #6.5)",Tahereh Mafi,4.19,71647,2021
The Switch,Beth O\'Leary,3.97,113610,2020
"Królewna. Część 2 (Rodzina Monet, #2B)",Weronika Anna Marczak,4.27,12416,2023
"Runaway Road (Runaway, #1)",Devney Perry,4.1,9013,2020
Concerning the Spiritual in Art,Wassily Kandinsky,3.84,85073,1912
The Book That No One Wanted to Read,Richard Ayoade,3.77,1692,2022
Salt,Nayyirah Waheed,4.25,23249,2013
"The Princess Saves Herself in This One (Women Are Some Kind of Magic, #1)",Amanda Lovelace,3.83,129330,2016
"First to the Front: The Untold Story of Dickey Chapelle, Trailblazing Female War Correspondent",Lorissa Rinehart,4.56,64,2023
Embracing Fate,Raquel  Riley,3.83,65,2023
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.44,2395833,2017
"A Time of Gifts (Trilogy, #1)",Patrick Leigh Fermor,4.06,7971,1977
A Chance Encounter,Nikki Ash,4.15,4006,2022
"The Stars are Dying (Nytefall, #1)",Chloe C. Peñaranda,3.77,2339,2023
My Week With Him,Joya Goffney,3.85,255,2023
The Girl I Was,Jeneva Rose,3.8,8254,2021
The Wrong Bridesmaid,Lauren Landish,3.96,6885,2022
Dinner in One: Exceptional &amp; Easy One-Pan Meals: A Cookbook,Melissa Clark,4.05,765,2022
極主夫道 12 [Gokushufudō 12],Kousuke Oono,4.46,13,2023
Rock Paper Scissors,Alice Feeney,3.95,318861,2021
Looking for Alaska,John Green,3.97,1513966,2005
A Most Tolerant Little Town: The Explosive Beginning of School Desegregation,Rachel Louise Martin,4.36,113,2023
Wasteland: The Secret World of Waste and the Urgent Search for a Cleaner Future,Oliver Franklin-Wallis,4.63,62,2023
Cursed (Legacy of Magic #8),Lindsay Buroker,4.69,479,2023
Deadpool by Alyssa Wong Vol. 1 (Deadpool (2022-)),Alyssa Wong,3.78,63,2023
Loot,Tania James,3.87,785,2023
Ladies of the Lake,Cathy Gohlke,4.53,210,2023
"Tested (Legacy of Magic, #4)",Lindsay Buroker,4.59,3032,2023
"Obsessed (Michael Bennett, #15)",James Patterson,4.39,3920,2023
Cat Kid Comic Club: Perspectives,Dav Pilkey,4.48,2897,2021
Indian-Ish: Recipes and Antics from a Modern American Family,Priya Krishna,4.19,2678,2019
Scoring Wilder,R.S. Grey,4,32497,2014
"Rivers of London (Rivers of London, #1)",Ben Aaronovitch,3.87,123008,2011
Everyone Wants to Know,Kelly Loy Gilbert,3.5,116,2023
"In the Heart of the Fire (Nameless: Season One, #1)",Dean Koontz,4.12,47813,2019
Swim Team,Johnnie Christmas,4.31,4523,2022
Every Day: The Graphic Novel,David Levithan,3.66,264,2023
"Deadly Class, Book Four: Kids Will Be Skeletons",Rick Remender,4.2,59,2023
"A Day of Fallen Night (The Roots of Chaos, #0)",Samantha    Shannon,4.46,14687,2023
James and the Giant Peach,Roald Dahl,4.03,455429,1961
Playing Under the Piano: From Downton to Darkest Peru,Hugh Bonneville,4.01,915,2022
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.25,695643,1990
The Ministry for the Future,Kim Stanley Robinson,3.89,25436,2020
Five Total Strangers,Natalie D. Richards,3.31,56547,2020
Everything is F*cked: A Book About Hope,Mark Manson,3.7,74812,2019
We&#39;re All Monsters Here,Amy Marsden,4.32,41,2023
Behind Closed Doors,B.A. Paris,3.98,521411,2016
Booth,Karen Joy Fowler,3.84,11090,2022
They Never Learn,Layne Fargo,3.98,32893,2020
Toffee,Sarah Crossan,4.05,5934,2019
The First Ladies,Marie Benedict,4.13,3978,2023
"The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do to Get More of It",Kelly McGonigal,4.13,31324,2011
Bag of Bones,Stephen King,3.92,193142,1998
Viscount of Villainy (Sins and Scoundrels #6),Scarlett Scott,4.41,294,2023
天国大魔境 9 [Tengoku Daimakyō 9],Masakazu Ishiguro,4.19,37,2023
Undoctored: The Story of a Medic Who Ran Out of Patients,Adam Kay,3.97,12516,2022
Incognito,Siobhan Davis,4.15,4075,2018
Crossroads,Jonathan Franzen,4.06,52602,2021
"A Dowry of Blood (A Dowry of Blood, #1)",S.T. Gibson,4.05,33384,2021
The Employees: A Workplace Novel of the 22nd Century,Olga Ravn,3.71,9804,2018
The Rape of Nanking: The Forgotten Holocaust of World War II,Iris Chang,4.19,38230,1997
The Mythmakers,Keziah Weir,3.48,376,2023
Firestarter,Stephen King,3.91,220870,1980
The First Bright Thing,J.R.  Dawson,3.73,948,2023
The Ex,Freida McFadden,4.04,29397,2019
Fangirl,Rainbow Rowell,3.97,724747,2013
The Love Report,BéKa,3.5,233,2023
Girls Who Lie Together,Jessa Russo,3.36,751,2023
Indistractable: How to Control Your Attention and Choose Your Life,Nir   Eyal,3.75,19503,2019
"Hatchet (Brian&#39;s Saga, #1)",Gary Paulsen,3.77,374333,1987
A Newlywed’s Guide to Fortune and Murder (Countess of Harleigh #6),Dianne Freeman,4.21,576,2023
Horrorstör,Grady Hendrix,3.66,77051,2014
ヴィンランド・サガ 27 [Vinland Saga 27],Makoto Yukimura,4.1,77,2023
Elizabeth Finch,Julian Barnes,3.17,4224,2022
The Lost Summers of Newport,Beatriz Williams,3.73,16276,2022
Two Boys Kissing,David Levithan,4.08,46377,2013
Think Again: The Power of Knowing What You Don&#39;t Know,Adam M. Grant,4.23,81269,2021
August Blue,Deborah Levy,3.8,1890,2023
"Ancient Remedies: Secrets to Healing with Herbs, Essential Oils, CBD, and the Most Powerful Natural Medicine in History",Josh Axe,4.34,637,2021
One Summer in Savannah,Terah Shelton Harris,4.21,1599,2023
"Bridget Jones: The Edge of Reason (Bridget Jones, #2)",Helen Fielding,3.61,109102,1999
Notes on Grief,Chimamanda Ngozi Adichie,4.23,26810,2021
The Last Echo of the Lord of Bells (Mage Errant #7),John Bierce,4.56,1688,2023
Vivi Conway and the Sword of Legend,Lizzie Huxley-Jones,4.6,40,2023
"Generations: The Real Differences Between Gen Z, Millennials, Gen X, Boomers, and Silents―and What They Mean for America&#39;s Future",Jean M. Twenge,4.15,765,2023
"Defy Me (Shatter Me, #5)",Tahereh Mafi,4.29,164637,2019
The Couples Trip,Ulf Kvensler,3.55,2161,2022
"Dead to the World (Crossroads Queen, #1)",Annabel Chase,4.3,2590,2023
Going Bicoastal,Dahlia Adler,4.02,1281,2023
"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",Candice Millard,4.19,71923,2011
Death by Black Hole: And Other Cosmic Quandaries,Neil deGrasse Tyson,4.1,30080,2006
Ice: From Mixed Drinks to Skating Rinks—A Cool History of a Hot Commodity,Amy Brady,4.07,123,2023
Sushi for Beginners,Marian Keyes,3.71,74584,2000
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,William H. McRaven,4,119288,2017
"The Last Fallen Realm (Gifted Clans, #3)",Graci Kim,4.34,198,2023
Fat Witch Summer,Lizzy Ives,4.13,145,2023
"Curvy Girls Can&#39;t Date Quarterbacks (The Curvy Girls Club, #1)",Kelsie Stelting,4.03,7373,2020
The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,4.33,98111,2010
The Dawn of Everything: A New History of Humanity,David Graeber,4.2,14328,2021
"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,4.06,323526,2015
The House of Eve,Sadeqa Johnson,4.28,36105,2023
Rhythms of Renewal: Trading Stress and Anxiety for a Life of Peace and Purpose,Rebekah Lyons,4.12,5472,2019
The Radium Girls: The Dark Story of America’s Shining Women,Kate  Moore,4.15,134081,2017
Cassandra in Reverse,Holly Smale,3.62,11556,2023
Essentialism: The Disciplined Pursuit of Less,Greg McKeown,4.07,102119,2011
Six Feet Below Zero,Ena  Jones,3.96,369,2021
"Throttled (Dirty Air, #1)",Lauren Asher,3.84,131218,2020
A Streetcar Named Desire,Tennessee Williams,3.98,300290,1947
"Blissful Hook (Swift Hat-Trick Trilogy, #2)",Hannah Cowan,3.89,4980,2021
"Seduction of a Psychopomp: Erogenous Hand Holding and Other Ways to Tame your Reaper (The Boundlands, #3)",Elsie Winters,4.29,242,2023
Wastelands: The True Story of Farm Country on Trial,Corban Addison,4.49,1415,2022
"The Walking Dead, Vol. 1: Days Gone Bye",Robert Kirkman,4.27,224607,2004
The Ferryman,Justin Cronin,4,13094,2023
The Lost Girls of Willowbrook,Ellen Marie Wiseman,3.92,25184,2022
The Secret Summer Promise,Keah Brown,3.57,235,2023
The Book of Charlie,David von Drehle,4.14,1859,2023
"The Laws of Attraction (Wyoming Sunrise, #2)",Mary Connealy,4.44,293,2023
The Laws of Human Nature,Robert Greene,4.36,16973,2018
Let Me In,Claire McGowan,4.11,1383,2023
Can You Keep a Secret?,Sophie Kinsella,3.84,428455,2003
The Sea Elephants,Shastri Akella,3.91,159,2023
This Much is True,Miriam Margolyes,4.13,15698,2021
Their Eyes Were Watching God,Zora Neale Hurston,3.98,329970,1937
Giovanni's Room,James Baldwin,4.31,129962,1956
The Lost Soul of the City (Nameless: Season Two #1),Dean Koontz,4.2,10639,2021
Strip Tees: A Memoir of Millennial Los Angeles,Kate Flannery,3.98,624,2023
The Paris Library,Janet Skeslien Charles,4.08,110254,2021
Unspeakable: Surviving My Childhood and Finding My Voice,Jessica Willis Fisher,4.56,1888,2022
Her Father&#39;s Daughter,T.M. Dunn,3.85,183,2023
Apples Never Fall,Liane Moriarty,3.79,303057,2021
Illuminations,T. Kingfisher,4.16,1678,2022
"After That Night (Will Trent, #11)",Karin Slaughter,4.53,3104,2023
The Crucible: A Play in Four Acts,Arthur  Miller,3.6,391029,1953
"賭ケグルイ双 14 (Kakegurui Twin, #14)",Homura Kawamoto,5,1,2023
A Grief Observed,C.S. Lewis,4.21,76183,1961
"Hey, Hun: Sales, Sisterhood, Supremacy, and the Other Lies Behind Multilevel Marketing",Emily Lynn Paulson,3.89,2451,2023
What It Takes: Lessons in the Pursuit of Excellence,Stephen A. Schwarzman,4.12,7058,2019
"As Good As Dead (A Good Girl&#39;s Guide to Murder, #3)",Holly  Jackson,4.21,205794,2021
"Paper Girls, Volume 4",Brian K. Vaughan,4.14,17872,2018
"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,4.13,138382,2021
Faith Still Moves Mountains: Miraculous Stories of the Healing Power of Prayer,Harris Faulkner,4.41,1581,2022
A Light in the Forest,Melissa Payne,4.27,5713,2022
Long Way Down: The Graphic Novel,Jason Reynolds,4.31,10621,2020
Thief Liar Lady,D.L. Soria,3.72,448,2023
Narrative of the Life of Frederick Douglass,Frederick Douglass,4.1,118111,1845
Orthodoxy,G.K. Chesterton,4.17,36957,1908
The Guns of August,Barbara W. Tuchman,4.17,73343,1962
Vers la beauté,David Foenkinos,4.11,7061,2018
Real Food for Pregnancy: The Science and Wisdom of Optimal Prenatal Nutrition,Lily Nichols,4.51,2439,2018
"Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,4.16,29705,1998
Send Down the Rain,Charles Martin,4.24,16358,2018
Big Nate: The Gerbil Ate My Homework,Lincoln Peirce,4.57,2424,2020
"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris,3.96,248538,2002
"Foundation and Empire (Foundation, #2)",Isaac Asimov,4.22,195021,1952
Master Slave Husband Wife: An Epic Journey from Slavery to Freedom,Ilyon Woo,4.08,3332,2023
Turkey and the Wolf: Flavor Trippin&#39; in New Orleans [A Cookbook],Mason Hereford,3.97,206,2022
The Turn of the Key,Ruth Ware,3.93,252006,2019
Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,4.54,85639,2021
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.02,1478919,1995
"Captive (Captive, #1)",Sarah Rivens,4.36,11984,2022
怪獣8号 1 [Kaijū 8-gō 1],Naoya Matsumoto,4.32,8149,2020
Fog of War (The Last Hunter #8),J.N. Chaney,4.42,649,2023
"Instacrush (Rookie Rebels, #2)",Kate Meader,3.96,2988,2019
Her Hidden Genius,Marie Benedict,3.93,10840,2022
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.65,442413,2010
In the Likely Event,Rebecca Yarros,4.37,10668,2023
"The Ruthless Fae King (Kings of Avalier, #3)",Leia Stone,4.25,3347,2023
"23 Hours to Midnight (Women’s Murder Club, #23)",James Patterson,4.43,16935,2023
Manual para damas afortunadas,Sophie Irwin,3.88,1348,2023
Everybody&#39;s Favorite: Tales from the World&#39;s Worst Perfectionist,Lillian Stone,4.14,152,2023
Starship Troopers,Robert A. Heinlein,4.01,220865,1959
The Gnostic Gospels,Elaine Pagels,3.94,17618,1979
Live Wire: Long-Winded Short Stories,Kelly Ripa,3.78,12677,2022
In Five Years,Rebecca Serle,3.8,417991,2020
The Devil&#39;s Playground,Craig Russell,4.07,328,2023
White Nights,Fyodor Dostoevsky,4.02,107535,1848
Momofuku: A Cookbook,David Chang,3.9,13170,2009
"Crush (Crave, #2)",Tracy Wolff,4.29,86124,2020
What She Missed,Liara Tamani,3.89,57,2023
Mine to Take (Southern Weddings #5),Natasha Madison,4.19,2191,2023
Encuentra tu persona vitamina,Marian Rojas Estapé,4.08,4064,2021
"I&#39;m No Philosopher, But I Got Thoughts: Mini-Meditations for Saints, Sinners, and the Rest of Us",Kristin Chenoweth,3.52,1946,2023
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.3,2754070,2005
"The Way the World Ends (Warmer, #1)",Jess Walter,3.57,3061,2018
Emergent Properties,Aimee Ogden,3.64,139,2023
"Things I Should Have Said: Family, Fame, and Figuring it Out",Jamie Lynn Spears,2.47,4249,2022
Managing Expectations: A Memoir in Essays,Minnie Driver,4.11,4819,2022
Diary of an Awesome Friendly Kid: Rowley Jefferson&#39;s Journal,Jeff Kinney,3.98,44094,2019
The Deja Glitch,Holly   James,3.8,695,2023
Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,4.23,482225,1997
Still Life,Sarah Winman,4.17,53755,2021
El mapa de los anhelos,Alice Kellen,4.29,23223,2022
Thirteen Reasons Why,Jay Asher,3.85,937874,2007
West with Giraffes,Lynda Rutledge,4.4,96839,2021
Perfectly Ordinary People,Nick Alexander,4.5,5854,2022
Local Woman Missing,Mary Kubica,4.15,298611,2021
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,4.05,827015,2014
"The Piece that Breaks (Offstage, #2)",N.J.  Gray,4.27,37,2023
All That Remains: A Life in Death,Sue Black,4.17,10038,2018
On Liberty,John Stuart Mill,3.97,36591,1859
"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky  Chambers,4.18,132057,2014
"Immortality: A Love Story (The Anatomy Duology, #2)",Dana Schwartz,3.99,9611,2023
A Gentleman in Moscow,Amor Towles,4.33,496180,2016
Devoted,Dean Koontz,4.11,42731,2020
Nov-09,Colleen Hoover,4.18,900133,2015
スキップとローファー 5 [Skip to Loafer 5],Misaki Takamatsu,4.64,1030,2021
"The Missing Sister (The Seven Sisters, #7)",Lucinda Riley,4.19,46555,2021
"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",Simon Winchester,3.84,114575,1998
The Wishing Game,Meg Shaffer,4.29,21752,2023
Pillow Thoughts (Pillow Thoughts #1),Courtney Peppernell,3.82,39515,2017
Anna Karenina,Leo Tolstoy,4.08,811377,1878
Ducks: Two Years in the Oil Sands,Kate Beaton,4.45,18128,2022
Waypoints: My Scottish Journey,Sam Heughan,4.31,6111,2022
"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.36,956368,2007
"Dune (Dune, #1)",Frank Herbert,4.26,1236971,1965
Beware the Woman,Megan Abbott,3.38,4631,2023
"Fruits Basket, Vol. 14",Natsuki Takaya,4.47,16161,2004
"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,3.98,419265,1951
The Cheat Sheet,Sarah       Adams,3.74,175249,2021
The Three Deaths of Willa Stannard,Kate Robards,3.68,361,2023
Night Angels,Weina Dai Randel,4.25,12784,2023
Old Boys,Nick Spalding,4.29,589,2023
Murder at the Front,Lynn Morrison,4.3,56,2023
"Unraveling Him (Bailey Brothers, #3)",Claire Kingsley,4.45,13507,2020
The Iliad,Homer,3.9,430804,-700
Free: A Child and a Country at the End of History,Lea Ypi,4.27,8272,2021
"Memories, Dreams, Reflections",C.G. Jung,4.15,33141,1961
Regretting You,Colleen Hoover,4.16,490348,2019
Wild: Tales from Early Medieval Britain,Amy Jeffs,3.94,494,2022
"Heartstopper: Volume Two (Heartstopper, #2)",Alice Oseman,4.57,419921,2019
The Wedding Game,Meghan Quinn,3.93,26446,2021
"Fruits Basket, Vol. 6",Natsuki Takaya,4.46,18704,2000
The Arcane Academy (The Undying Magician #1),Shane Purdy,4.09,1638,2022
"My Father&#39;s House (Rome Escape Line Trilogy, #1)",Joseph O\'Connor,4.12,2922,2023
Asian Green: Everyday plant based recipes inspired by the East,Ching-He Huang,3.94,67,2021
"Dirtbag, Massachusetts: A Confessional",Isaac Fitzgerald,3.6,5380,2022
Take What You Need,Idra Novey,3.64,1697,2023
Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,Amir Levine,4.15,70751,2010
Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,3.95,74364,1981
We Could Be So Good,Cat Sebastian,4.42,2534,2023
"進撃の巨人 7 [Shingeki no Kyojin 7] (Attack on Titan, #7)",Hajime Isayama,4.52,18236,2012
Happy-Go-Lucky,David Sedaris,4.2,32835,2022
Berlin,Bea Setton,3.71,1085,2022
Be Here Now,Ram Dass,4.32,35591,1971
ゆびさきと恋々 7 [Yubisaki to Renren 7],Suu Morishita,4.44,554,2022
"The Deal (Off-Campus, #1)",Elle Kennedy,4.25,588086,2015
Brain Food: The Surprising Science of Eating for Cognitive Power,Lisa Mosconi,3.92,1854,2018
Nothing Fancy: Unfussy Food for Having People Over,Alison Roman,4.14,2919,2019
Not Until This Day (Hope Springs #6),Valerie M. Bodden,4.74,882,2020
The Kite Runner,Khaled Hosseini,4.34,2999730,2003
Dessert Person: Recipes and Guidance for Baking with Confidence: A Baking Book,Claire Saffitz,3.87,5953,2020
ブルーロック 1 [Blue Lock 1],Muneyuki Kaneshiro,4.29,6321,2018
"Forbidden (Ward Sisters, #4)",Karla Sorensen,4.2,13202,2021
"My Happy Marriage, Vol. 1 (My Happy Marriage Light Novel, #1)",Akumi Agitogi,4.22,1714,2019
"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.31,306197,2009
"Mark of the Fool (Mark of the Fool, #1)",J.M. Clarke,4.38,3261,2021
"Dare You to Kiss the Quarterback (Rock Valley High, #1)",Lacy Andersen,3.91,1620,2019
"Wined and Died in New Orleans (Vintage Cookbook Mystery, #2)",Ellen Byron,4.22,625,2023
"Look for Me There: Grieving My Father, Finding Myself",Luke Russert,4,1947,2023
The Four Agreements,Miguel Ruiz,4.18,349427,1997
Batman: Arkham Asylum - A Serious House on Serious Earth,Grant Morrison,4.1,69513,1989
Rose/House,Arkady Martine,3.89,860,2023
Keep Going: 10 Ways to Stay Creative in Good Times and Bad,Austin Kleon,4.28,12822,2019
